schemeName,2018,2019,2020,2021,2022,2023,2024
Franklin India Fixed Maturity Plans- Series 5 Plan F (1203 days)-Growth Direct,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans- Series 5- Plan B (1244 days)- Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans- Series 5- Plan B (1244 days)- Growth Direct,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans- Series 5- Plan E (1224 days)- Growth,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans- Series 5- Plan E (1224 days)- Growth- Direct,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans- Series 6 Plan C (1169 days)- Growth- Direct,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans- series 3- Plan E (1104) days- Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 4 - Plan A 1098 days - Direct - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 4 - Plan A 1098 days - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 4 - Plan A 1098 days - QTR Direct - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 4 - Plan A 1098 days -QTR - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 4 - Plan B 1098 days - Direct - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 4 - Plan B 1098 days - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 4 - Plan B 1098 days -QTR - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 4 - Plan C 1098 days - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 4 - Plan C 1098 days - QTR Direct - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 4 - Plan C 1098 days -QTR - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 4 - Plan D 1098 days - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 4 - Plan D 1098 days -QTR - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 4 - Plan E 1098 days - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 4 - Plan E 1098 days - QTR Direct - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 4 - Plan E 1098 days -QTR - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 4 - Plan F 1286 days - Direct - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 4 - Plan F 1286 days - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 4 - Plan F 1286 days - QTR Direct - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 4 - Plan F 1286 days -QTR - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 5 - Plan A 1273 days - Direct - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 5 - Plan A 1273 days - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 5 - Plan A 1273 days - QTR Direct - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 5 - Plan A 1273 days -QTR - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 5 - Plan B 1244 days - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 5 - Plan B 1244 days -QTR - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 5 - Plan C 1259 days - Direct - IDCW ,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 5 - Plan C 1259 days - IDCW ,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 5 - Plan C 1259 days - QTR Direct - IDCW ,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 5 - Plan C 1259 days -QTR - IDCW ,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 5 - Plan D 1238 days - Direct - IDCW ,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 5 - Plan D 1238 days - IDCW ,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 5 - Plan D 1238 days -QTR - IDCW ,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 5 - Plan E 1224 days - Direct - IDCW ,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 5 - Plan E 1224 days - IDCW ,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 5 - Plan E 1224 days - QTR Direct - IDCW ,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 5 - Plan E 1224 days -QTR - IDCW ,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 5 - Plan F 1203 days - Direct - IDCW ,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 5 - Plan F 1203 days - IDCW ,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 5 - Plan F 1203 days - QTR Direct - IDCW ,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 5 - Plan F 1203 days -QTR - IDCW ,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 6 - Plan C 1169 days - IDCW ,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed Maturity Plans-Series 6 - Plan C 1169 days -QTR - IDCW ,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Fixed maturity Plans- Series 4- Plan A (1098 days) - Growth - Direct,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Flexi Cap Fund - Direct - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Flexi Cap Fund - Direct - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Flexi Cap Fund - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Flexi Cap Fund - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Floating Rate Fund - Direct - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Floating Rate Fund - Direct - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Floating Rate Fund - Growth Plan,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Floating Rate Fund - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Focused Equity Fund - Direct - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Focused Equity Fund - Direct - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Focused Equity Fund - Growth Plan,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Focused Equity Fund - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India GOVERNMENT SECURITIES FUND - Composite Plan - Direct - Growth,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India GOVERNMENT SECURITIES FUND - Composite Plan - Direct - Quarterly Dividend,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India GOVERNMENT SECURITIES FUND PF PLAN - Direct - Growth,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Government Securities Fund - Direct - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Government Securities Fund - Direct - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Government Securities Fund - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Government Securities Fund - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Govt.Sec. Fund-Composite Plan - Dividend,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Govt.Sec. Fund-Composite Plan - Growth,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Govt.Sec. Fund-PF Plan - Dividend,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Govt.Sec. Fund-PF Plan - Growth,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India INDEX FUND- NSE NIFTY 50 INDEX FUND - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India INDEX FUND- NSE NIFTY 50 INDEX FUND- Direct - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India INDEX FUND- NSE Nifty 50 Index Fund - Direct - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Income Opportunities Fund - Direct - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Income Opportunities Fund - Direct - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Income Opportunities Fund - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Income Opportunities Fund - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Income Opportunities Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct Dividend Plan,INACTIVE,INACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Income Opportunities Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct Growth Plan,INACTIVE,INACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Income Opportunities Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Dividend Plan,INACTIVE,INACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Income Opportunities Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Plan,INACTIVE,INACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Income Opportunities Fund- Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Direct IDCW,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE
Franklin India Income Opportunities Fund- Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - IDCW,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE
Franklin India Income Opportunities Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Direct Growth Plan,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE
Franklin India Income Opportunities Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Growth Plan,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE
Franklin India Index Fund- NSE Nifty 50 Index Fund - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Life Stage Fund Of Funds - 50's Plus Floating Rate Plan - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Life Stage Fund Of Funds - The 50S Plus Floating Rate Plan - Direct - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Life Stage Fund of Funds - 20's Plan - Direct - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Life Stage Fund of Funds - 20's Plan - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Life Stage Fund of Funds - 30's Plan - Direct - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Life Stage Fund of Funds - 30's Plan - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Life Stage Fund of Funds - 40's Plan - Direct - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Life Stage Fund of Funds - 40's Plan - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Life Stage Fund of Funds - 50's Plus Floating Rate Plan - Direct - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Life Stage Fund of Funds - 50's Plus Plan - Direct - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Life Stage Fund of Funds - 50's Plus Plan - IDCW ,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Life Stage Fund of Funds - The 30s Plan - Direct - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Life Stage Fund of Funds - The 40s Plan - Direct - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Life Stage Fund of Funds - The 50s Plus - Direct - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Life Stage Fund of Funds - The 50s Plus Flo (Gro),ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Liquid Fund - Institution-Growth,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Liquid Fund - Institutional Plan - Daily - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Liquid Fund - Institutional Plan - Weekly - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Liquid Fund - Regular Plan - Daily - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Liquid Fund - Regular Plan - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Liquid Fund - Regular Plan - Weekly - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Liquid Fund - Super Institutional - Direct - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Liquid Fund - Super Institutional Plan - Daily - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Liquid Fund - Super Institutional Plan - Direct - Daily - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Liquid Fund - Super Institutional Plan - Direct - Weekly - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Liquid Fund - Super Institutional Plan - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Liquid Fund - Super Institutional Plan - Weekly - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Liquid Fund - Unclaimed IDCW Investor Education Plan - Growth,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Liquid Fund - Unclaimed IDCW Plan - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Liquid Fund - Unclaimed Redemption Investor Education Plan - Growth,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Liquid Fund - Unclaimed Redemption Plan - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Low Duration Fund - Direct - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Low Duration Fund - Direct - Monthly - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Low Duration Fund - Direct - Quarterly - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Low Duration Fund - Growth Plan,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Low Duration Fund - Monthly - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Low Duration Fund - Quarterly - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE,INACTIVE
Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct- Quarterly Dividend Plan,INACTIVE,INACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Growth Plan,INACTIVE,INACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Monthly Dividend Plan,INACTIVE,INACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Plan,INACTIVE,INACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Monthly Dividend Plan,INACTIVE,INACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Quarterly Dividend Plan,INACTIVE,INACTIVE,ACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE
Franklin India Low Duration Fund- Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Monthly - IDCW,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE
Franklin India Low Duration Fund- Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Quarterly - IDCW,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE
Franklin India Low Duration Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Direct- Growth Plan,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE
Franklin India Low Duration Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Growth Plan,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE
Franklin India Low Duration Fund-Direct- Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Direct Monthly - IDCW,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE
Franklin India Low Duration Fund-Direct- Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Direct Quarterly - IDCW,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,INACTIVE
Franklin India Money Market Fund - DP - Wkly IDCW R,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE
Franklin India Money Market Fund - Direct - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Money Market Fund - Growth Option,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Money Market Fund Retail Option - Daily - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Money Market Fund Retail Option - Direct - Daily - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Money Market Fund Retail Option - Direct - Monthly - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Money Market Fund Retail Option - Direct - Quarterly - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Money Market Fund Retail Option - Monthly - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Money Market Fund Retail Option - Quarterly - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Money Market Fund Wkly IDCW R,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE
Franklin India Multi - Asset Solution Fund of Funds - Direct - IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Multi - Asset Solution Fund of Funds- Growth Plan,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Multi - Asset Solution Fund of Funds- Growth Plan - Direct,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Multi - Asset Solution Fund of Funds- IDCW,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Multi Cap Fund - Direct - Growth,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE
Franklin India Multi Cap Fund - Direct - IDCW,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE
Franklin India Multi Cap Fund - Growth,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE
Franklin India Multi Cap Fund - IDCW,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE
Franklin India Opportunities Fund - Direct - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Opportunities Fund - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Overnight Fund - Daily Dividend Plan - Daily - IDCW,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Overnight Fund - Direct Daily Dividend Plan - Daily - IDCW,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Overnight Fund - Direct Weekly Dividend Plan - Weekly - IDCW,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
Franklin India Overnight Fund - Weekly Dividend Plan - Weekly - IDCW,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
