year,nav
2006,64.54271932069052
2007,70.4293432331343
2008,71.25570570431026
2009,85.68463914069164
2010,106.48283218786192
2011,123.83218985501307
2012,167.9450009009175
2013,198.73369578545905
2014,185.19801021505296
2015,189.93606107064213
2016,189.70163806264844
2017,207.09778163488264
2018,211.72063098537433
2019,202.4209402326385
2020,213.9156965344268
2021,236.2199487865712
2022,275.0918047988243
2023,291.762906041197
2024,301.2886223852198
